"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"CHL","Chile","CITY","City","CL019C","Chillan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27,,
"NZL","New Zealand","CITY","City","NZL03C","Wellington","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.3,,
"DEU","Germany","CITY","City","DE035C","Mainz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.4,,
"MEX","Mexico","CITY","City","MEX75C","Ciudad Valles","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.2,,
"JPN","Japan","CITY","City","JPN21C","Mito","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.7,,
"DEU","Germany","CITY","City","DE113C","Gera","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"POL","Poland","CITY","City","PL007C","Szczecin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13,,
"DEU","Germany","CITY","City","DE009C","Dresden","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.4,,
"MEX","Mexico","CITY","City","MEX65C","Nogales","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.2,,
"NZL","New Zealand","CITY","City","NZL12C","Rotorua","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.7,,
"GBR","United Kingdom","CITY","City","UK576C","Crawley","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"ROU","Romania","CITY","City","RO008C","Arad","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14,,
"ROU","Romania","CITY","City","RO001C","Bucureşti","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",21,,
"DEU","Germany","CITY","City","DE020C","Göttingen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"NLD","Netherlands","CITY","City","NL019C","Haarlem","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.3,,
"FIN","Finland","CITY","City","FI002C","Tampere/Tammerfors","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.1,,
"USA","United States","CITY","City","USA19C","San Antonio","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.2,,
"POL","Poland","CITY","City","PL017C","Gorzów Wielkopolski","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.7,,
"AUS","Australia","CITY","City","AUS10C","Wollongong","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.1,,
"HUN","Hungary","CITY","City","HU007C","Gyõr","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.1,,
"HRV","Croatia","CITY","City","HR005C","Split","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.9,,
"GBR","United Kingdom","CITY","City","UK022C","Wrexham","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.1,,
"POL","Poland","CITY","City","PL066C","Chorzów","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",29.5,,
"USA","United States","CITY","City","USA177C","Saginaw","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.1,,
"PRT","Portugal","CITY","City","PT006C","Setúbal","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9,,
"NZL","New Zealand","CITY","City","NZL06C","Dunedin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.9,,
"HRV","Croatia","CITY","City","HR002C","Rijeka","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.5,,
"DEU","Germany","CITY","City","DE119C","Bergisch Gladbach","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.8,,
"ESP","Spain","CITY","City","ES059C","Granada","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.1,,
"CAN","Canada","CITY","City","CAN10C","London","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.6,,
"ESP","Spain","CITY","City","ES096C","Puerto de la Cruz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.7,,
"HRV","Croatia","CITY","City","HR001C","Zagreb","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.9,,
"GRC","Greece","CITY","City","EL011C","Serres","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.9,,
"NLD","Netherlands","CITY","City","NL003C","Almelo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.1,,
